시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소
서울특별시 강남구 개포동,1***,단독,8m미만,161.88,108.2,202205,25,"180,000",1987,논현로18길,,중개거래,서울 강남구
서울특별시 강남구 개포동,1***,단독,12m미만,467.38,168.9,202205,12,"380,000",1990,논현로4길,,중개거래,서울 강남구
서울특별시 강남구 개포동,1**,단독,8m미만,247.55,169.7,202207,6,"410,640",1987,선릉로14길,,중개거래,서울 강남구
서울특별시 강남구 개포동,1***,단독,8m미만,249.82,179.9,202206,15,"380,000",1988,논현로18길,,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 개포동,1***,단독,8m미만,311.78,214.1,202210,11,"375,000",1989,논현로8길,,중개거래,서울 강남구
서울특별시 강남구 개포동,1**,단독,8m미만,246.87,221.9,202206,1,"450,000",1988,선릉로8길,,중개거래,서울 강남구
서울특별시 강남구 개포동,1***,단독,12m미만,821.48,256.3,202206,22,"651,000",1991,논현로14길,,중개거래,서울 강남구
서울특별시 강남구 논현동,2**,다가구,8m미만,337.71,165.9,202207,20,"600,000",1996,봉은사로29길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,429.99,169.3,202210,14,"570,000",1991,학동로12길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,429.99,169.3,202207,26,"570,000",1991,학동로12길,20221014,중개거래,서울 강남구
서울특별시 강남구 논현동,2**,다가구,8m미만,377.92,170,202207,6,"514,000",1996,논현로124길,20221014,중개거래,서울 서초구
서울특별시 강남구 논현동,2**,다가구,8m미만,377.92,170,202207,6,"514,000",1996,논현로124길,20221229,중개거래,서울 서초구
서울특별시 강남구 논현동,1*,다가구,8m미만,381.75,170.1,202301,12,"570,000",1991,도산대로12길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,481.13,171.1,202205,10,"308,000",2004,학동로12길,,직거래,-
서울특별시 강남구 논현동,8*,다가구,8m미만,596.06,173.3,202205,23,"616,000",2001,null,,중개거래,서울 강남구
서울특별시 강남구 논현동,2**,다가구,8m미만,313.39,177.1,202208,17,"430,000",2000,학동로38길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,418.96,180.9,202205,6,"490,000",1993,논현로117길,20220526,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,418.96,180.9,202205,26,"490,000",1993,논현로117길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1*,다가구,8m미만,401.91,236.7,202207,5,"932,700",1995,도산대로4길,,중개거래,서울 강남구
서울특별시 강남구 논현동,3*,다가구,8m미만,527.04,244,202207,12,"750,000",1996,null,,중개거래,서울 강남구
서울특별시 강남구 논현동,3*,다가구,8m미만,527.04,244,202206,24,"750,000",1996,도산대로26길,20220712,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,589.24,249.1,202206,20,"230,200",1996,논현로113길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,492.98,253.7,202208,11,"735,000",1997,null,,중개거래,서울 강남구
서울특별시 강남구 논현동,2**,다가구,8m미만,522.32,256.5,202209,7,"930,000",1996,선릉로125길,20230214,중개거래,서울 강남구
서울특별시 강남구 논현동,2**,다가구,8m미만,555.66,271.5,202207,11,"850,000",2001,null,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,406.8,274.4,202206,4,"523,000",2002,봉은사로21길,20220727,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,406.8,274.4,202207,27,"523,000",2002,봉은사로21길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,8m미만,499.29,276.1,202207,11,"360,000",1991,강남대로126길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,다가구,25m미만,496.45,293.9,202207,19,"540,000",1993,학동로6길,,중개거래,서울 강남구
서울특별시 강남구 논현동,5*,다가구,8m미만,658.85,305.7,202207,12,"1,200,000",1998,논현로131길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,단독,8m미만,192.53,104,202304,20,"300,000",2022,학동로14길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,단독,8m미만,155.4,105.1,202205,31,"357,000",1987,학동로41길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,단독,8m미만,114.55,165.7,202206,7,"445,000",1975,null,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,단독,8m미만,114.55,165.7,202205,20,"445,000",1975,학동로18길,20220607,중개거래,서울 강남구
서울특별시 강남구 논현동,1*,단독,8m미만,298.96,191.4,202210,13,"790,000",1985,논현로149길,,중개거래,서울 강남구
서울특별시 강남구 논현동,1**,단독,8m미만,555.28,210,202207,12,"790,000",1991,강남대로126길,,중개거래,"서울 강남구, 서울 용산구"
