시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 개포동,1216-4,1216,4,(1216-4),29.97,19.23,202207,5,"55,000",3,2012,개포로26길 16,,중개거래,서울 강남구
서울특별시 강남구 개포동,1262,1262,0,(1262-0),108.28,72.93,202301,9,"132,000",3,2006,개포로31길 20,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),41.45,23.07,202206,9,"76,000",1,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),57.55,32.03,202206,9,"106,000",1,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),57.55,32.03,202206,9,"110,000",2,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),121.23,67.47,202206,9,"199,000",3,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),57.55,32.03,202206,9,"110,000",2,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),41.45,23.07,202206,9,"78,000",2,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),41.46,23.07,202206,9,"76,000",1,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),57.55,32.03,202206,9,"106,000",1,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,159-2,159,2,(159-2),41.46,23.07,202206,9,"78,000",2,1987,선릉로8길 12,,중개거래,서울 강남구
서울특별시 강남구 개포동,1218-12,1218,12,1218-12,27.15,16.38,202304,22,"46,000",3,2019,개포로24길 32,,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 개포동,1245-5,1245,5,G-heim,24.82,16.15,202302,13,"34,100",6,2017,개포로17길 9-3,,중개거래,경기 성남분당구
서울특별시 강남구 개포동,1245-5,1245,5,G-heim,24.6,16,202302,14,"30,500",2,2017,개포로17길 9-3,,중개거래,서울 강남구
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,26.38,11.1,202210,7,"36,500",4,2017,논현로20길 22,,중개거래,서울 강남구
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,27.48,11.55,202304,1,"39,900",3,2017,논현로20길 22,,중개거래,서울 서초구
서울특별시 강남구 개포동,1166-7,1166,7,갤러리빌라,59.61,33.05,202303,14,"63,000",2,2015,논현로2길 41,,중개거래,"서울 강남구, 서울 서초구"
서울특별시 강남구 개포동,1265-2,1265,2,골든뷰,45.77,27.11,202209,2,"39,000",4,2015,개포로31길 2-4,,직거래,-
서울특별시 강남구 개포동,1262-12,1262,12,골든빌A동,59.06,39.91,202303,9,"94,000",5,2022,개포로31길 4,,중개거래,서울 강남구
서울특별시 강남구 개포동,1262-13,1262,13,골든빌B동,49.6,34.11,202207,22,"95,000",3,2022,개포로31길 6,20230228,중개거래,서울 강남구
서울특별시 강남구 개포동,1262-13,1262,13,골든빌B동,29.75,19.83,202304,11,"39,500",5,2022,개포로31길 6,,중개거래,서울 강남구
