시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 강남구 개포동,1237-8,1237,8,YH빌리지,27.86,202302,7,"37,000",2,2017,논현로20길 22,,중개거래,"경기 의왕시, 서울 강남구"
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202204,30,"23,000",10,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202205,19,"23,000",21,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202206,1,"20,800",16,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202206,29,"22,000",13,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202206,30,"26,000",25,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202207,1,"21,000",7,1997,개포로 623,,중개거래,"경기 남양주시, 서울 강남구"
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202207,4,"23,000",13,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202207,8,"21,000",9,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,34.39,202207,16,"23,000",8,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202207,19,"22,800",5,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202207,21,"23,000",9,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202208,12,"23,000",11,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,33.5,202209,19,"22,000",15,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,32.44,202210,13,"20,650",5,1997,개포로 623,,직거래,-
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202211,1,"23,000",18,1997,개포로 623,,중개거래,서울 강남구
서울특별시 강남구 개포동,03월 13일,13,3,대청타워,31.91,202212,31,"22,000",14,1997,개포로 623,,중개거래,서울 강남구
